"HGCN"	"ensembl"
"GMPS"	"ENSG00000163655"
"TIPARP"	"ENSG00000163659"
"CCNL1"	"ENSG00000163660"
"PTX3"	"ENSG00000163661"
"HESX1"	"ENSG00000163666"
"SLMAP"	"ENSG00000163681"
"RPL9"	"ENSG00000163682"
"SMIM14"	"ENSG00000163683"
"RPP14"	"ENSG00000163684"
"ABHD6"	"ENSG00000163686"
"DNASE1L3"	"ENSG00000163687"
"CFAP20DC"	"ENSG00000163689"
"RBM47"	"ENSG00000163694"
"APBB2"	"ENSG00000163697"
"IL17RE"	"ENSG00000163701"
"IL17RC"	"ENSG00000163702"
"CRELD1"	"ENSG00000163703"
"PRRT3"	"ENSG00000163704"
"FANCD2OS"	"ENSG00000163705"
"PCOLCE2"	"ENSG00000163710"
"U2SURP"	"ENSG00000163714"
"MTMR14"	"ENSG00000163719"
"TTC14"	"ENSG00000163728"
"CXCL3"	"ENSG00000163734"
"PPBP"	"ENSG00000163736"
"PF4"	"ENSG00000163737"
"MTHFD2L"	"ENSG00000163738"
"RCHY1"	"ENSG00000163743"
"CCDC158"	"ENSG00000163749"
"CPA3"	"ENSG00000163751"
"GYG1"	"ENSG00000163754"
"HPS3"	"ENSG00000163755"
"TM4SF18"	"ENSG00000163762"
"TOPBP1"	"ENSG00000163781"
"RYK"	"ENSG00000163785"
"SNRK"	"ENSG00000163788"
"TCF23"	"ENSG00000163792"
"DNAJC5G"	"ENSG00000163793"
"UCN"	"ENSG00000163794"
"ZNF513"	"ENSG00000163795"
"SLC4A1AP"	"ENSG00000163798"
"PLB1"	"ENSG00000163803"
"SPDYA"	"ENSG00000163806"
"KIAA1143"	"ENSG00000163807"
"KIF15"	"ENSG00000163808"
"WDR43"	"ENSG00000163811"
"ZDHHC3"	"ENSG00000163812"
"CDCP1"	"ENSG00000163814"
"SLC6A20"	"ENSG00000163817"
"LZTFL1"	"ENSG00000163818"
"FYCO1"	"ENSG00000163820"
"LRRC2"	"ENSG00000163827"
"ELP6"	"ENSG00000163832"
"FBXO40"	"ENSG00000163833"
"DTX3L"	"ENSG00000163840"
"ZNF148"	"ENSG00000163848"
"NMNAT3"	"ENSG00000163864"
"SMIM12"	"ENSG00000163866"
"ZMYM6"	"ENSG00000163867"
"TPRA1"	"ENSG00000163870"
"YEATS2"	"ENSG00000163872"
"ZC3H12A"	"ENSG00000163874"
"MEAF6"	"ENSG00000163875"
"SNIP1"	"ENSG00000163877"
"DNALI1"	"ENSG00000163879"
"POLR2H"	"ENSG00000163882"
"KLF15"	"ENSG00000163884"
"LIPH"	"ENSG00000163898"
"TMEM41A"	"ENSG00000163900"
"RPN1"	"ENSG00000163902"
"SENP2"	"ENSG00000163904"
"IFT122"	"ENSG00000163913"
"RFC4"	"ENSG00000163918"
"RPL39L"	"ENSG00000163923"
"BAP1"	"ENSG00000163930"
"TKT"	"ENSG00000163931"
"PRKCD"	"ENSG00000163932"
"RFT1"	"ENSG00000163933"
"SFMBT1"	"ENSG00000163935"
"GNL3"	"ENSG00000163938"
"PBRM1"	"ENSG00000163939"
"UVSSA"	"ENSG00000163945"
"TASOR"	"ENSG00000163946"
"ARHGEF3"	"ENSG00000163947"
"SLBP"	"ENSG00000163950"
"LRPAP1"	"ENSG00000163956"
"SLC51A"	"ENSG00000163959"
"UBXN7"	"ENSG00000163960"
"RNF168"	"ENSG00000163961"
"PIGX"	"ENSG00000163964"
"MELTF"	"ENSG00000163975"
"EXO5"	"ENSG00000164002"
"CLDN19"	"ENSG00000164007"
"C1orf50"	"ENSG00000164008"
"ERMAP"	"ENSG00000164010"
"ZNF691"	"ENSG00000164011"
"AIMP1"	"ENSG00000164022"
"SGMS2"	"ENSG00000164023"
"METAP1"	"ENSG00000164024"
"DNAJB14"	"ENSG00000164031"
"H2AZ1"	"ENSG00000164032"
"EMCN"	"ENSG00000164035"
"SLC9B1"	"ENSG00000164037"
"SLC9B2"	"ENSG00000164038"
"BDH2"	"ENSG00000164039"
"PGRMC2"	"ENSG00000164040"
"CDC25A"	"ENSG00000164045"
"CAMP"	"ENSG00000164047"
"ZNF589"	"ENSG00000164048"
"FBXW12"	"ENSG00000164049"
"PLXNB1"	"ENSG00000164050"
"CCDC51"	"ENSG00000164051"
"ATRIP"	"ENSG00000164053"
"SHISA5"	"ENSG00000164054"
"SPRY1"	"ENSG00000164056"
"BSN"	"ENSG00000164061"
"APEH"	"ENSG00000164062"
"INTU"	"ENSG00000164066"
"RNF123"	"ENSG00000164068"
"HSPA4L"	"ENSG00000164070"
"MFSD8"	"ENSG00000164073"
"ABHD18"	"ENSG00000164074"
"MON1A"	"ENSG00000164077"
"RAD54L2"	"ENSG00000164080"
"TEX264"	"ENSG00000164081"
"GRM2"	"ENSG00000164082"
"DUSP7"	"ENSG00000164086"
"POC1A"	"ENSG00000164087"
"PPM1M"	"ENSG00000164088"
"ETNPPL"	"ENSG00000164089"
"WDR82"	"ENSG00000164091"
"C4orf3"	"ENSG00000164096"
"NDST3"	"ENSG00000164100"
"HMGB2"	"ENSG00000164104"
"SAP30"	"ENSG00000164105"
"SCRG1"	"ENSG00000164106"
"MAD2L1"	"ENSG00000164109"
"ANXA5"	"ENSG00000164111"
"MAP9"	"ENSG00000164114"
"GUCY1A1"	"ENSG00000164116"
"FBXO8"	"ENSG00000164117"
"CEP44"	"ENSG00000164118"
"HPGD"	"ENSG00000164120"
"C4orf45"	"ENSG00000164123"
"TMEM144"	"ENSG00000164124"
"GASK1B"	"ENSG00000164125"
"NAA15"	"ENSG00000164134"
"IL15"	"ENSG00000164136"
"FAM160A1"	"ENSG00000164142"
"ARFIP1"	"ENSG00000164144"
"ICE1"	"ENSG00000164151"
"HHIP"	"ENSG00000164161"
"ANAPC10"	"ENSG00000164162"
"ABCE1"	"ENSG00000164163"
"OTUD4"	"ENSG00000164164"
"LSM6"	"ENSG00000164167"
"TMEM184C"	"ENSG00000164168"
"PRMT9"	"ENSG00000164169"
"ITGA2"	"ENSG00000164171"
"MOCS2"	"ENSG00000164172"
"TMEM161B"	"ENSG00000164180"
"ELOVL7"	"ENSG00000164181"
"NDUFAF2"	"ENSG00000164182"
"ZNF474"	"ENSG00000164185"
"LMBRD2"	"ENSG00000164187"
"NIPBL"	"ENSG00000164190"
"RNF180"	"ENSG00000164197"
"ADGRV1"	"ENSG00000164199"
"SLC25A46"	"ENSG00000164209"
"STARD4"	"ENSG00000164211"
"PGGT1B"	"ENSG00000164219"
"F2RL2"	"ENSG00000164220"
"CCDC112"	"ENSG00000164221"
"ANKRD33B"	"ENSG00000164236"
"CMBL"	"ENSG00000164237"
"C5orf63"	"ENSG00000164241"
"PRRC1"	"ENSG00000164244"
"F2RL1"	"ENSG00000164251"
"AGGF1"	"ENSG00000164252"
"WDR41"	"ENSG00000164253"
"PRDM9"	"ENSG00000164256"
"NDUFS4"	"ENSG00000164258"
"SCGB3A2"	"ENSG00000164265"
"SPINK1"	"ENSG00000164266"
"GRPEL2"	"ENSG00000164284"
"CDC20B"	"ENSG00000164287"
"ARSK"	"ENSG00000164291"
"RHOBTB3"	"ENSG00000164292"
"GPX8"	"ENSG00000164294"
"TIGD6"	"ENSG00000164296"
"SERINC5"	"ENSG00000164300"
"ENPP6"	"ENSG00000164303"
"CAGE1"	"ENSG00000164304"
"CASP3"	"ENSG00000164305"
"PRIMPOL"	"ENSG00000164306"
"ERAP1"	"ENSG00000164307"
"ERAP2"	"ENSG00000164308"
"EGFLAM"	"ENSG00000164318"
"CFAP97"	"ENSG00000164323"
"RICTOR"	"ENSG00000164327"
"TENT2"	"ENSG00000164329"
"EBF1"	"ENSG00000164330"
"ANKRA2"	"ENSG00000164331"
"UBLCP1"	"ENSG00000164332"
"UTP15"	"ENSG00000164338"
"TLR3"	"ENSG00000164342"
"NSA2"	"ENSG00000164346"
"GFM2"	"ENSG00000164347"
"TERT"	"ENSG00000164362"
"CCDC127"	"ENSG00000164366"
"ADGRF2"	"ENSG00000164393"
"ACSL6"	"ENSG00000164398"
"SEPTIN8"	"ENSG00000164402"
"SHROOM1"	"ENSG00000164403"
"GDF9"	"ENSG00000164404"
"UQCRQ"	"ENSG00000164405"
"LEAP2"	"ENSG00000164406"
"GJB7"	"ENSG00000164411"
"SLC35A1"	"ENSG00000164414"
"GRIK2"	"ENSG00000164418"
"CGAS"	"ENSG00000164430"
"FABP7"	"ENSG00000164434"
"CITED2"	"ENSG00000164442"
"CREBRF"	"ENSG00000164463"
"DCBLD1"	"ENSG00000164465"
"SFXN1"	"ENSG00000164466"
"SAMD3"	"ENSG00000164483"
"TMEM200A"	"ENSG00000164484"
"PDSS2"	"ENSG00000164494"
"STXBP5"	"ENSG00000164506"
"IL31RA"	"ENSG00000164509"
"ANKRD55"	"ENSG00000164512"
"RAET1E"	"ENSG00000164520"
"DAGLB"	"ENSG00000164535"
"KIAA0895"	"ENSG00000164542"
"STK17A"	"ENSG00000164543"
"TRA2A"	"ENSG00000164548"
"GALNT10"	"ENSG00000164574"
"SAP30L"	"ENSG00000164576"
"RPS14"	"ENSG00000164587"
"HCN1"	"ENSG00000164588"
"MYOZ3"	"ENSG00000164591"
"COG5"	"ENSG00000164597"
"BMT2"	"ENSG00000164603"
"GPR85"	"ENSG00000164604"
"SLU7"	"ENSG00000164609"
"RP9"	"ENSG00000164610"
"PTTG1"	"ENSG00000164611"
"CAMLG"	"ENSG00000164615"
"BMPER"	"ENSG00000164619"
"KCNK5"	"ENSG00000164626"
"KIF6"	"ENSG00000164627"
"ZNF12"	"ENSG00000164631"
"SLC29A4"	"ENSG00000164638"
"CDCA7L"	"ENSG00000164649"
"MIOS"	"ENSG00000164654"
"ELAPOR2"	"ENSG00000164659"
"USP49"	"ENSG00000164663"
"INTS4P1"	"ENSG00000164669"
"SYTL3"	"ENSG00000164674"
"ZNF704"	"ENSG00000164684"
"FABP5"	"ENSG00000164687"
"SHH"	"ENSG00000164690"
"TAGAP"	"ENSG00000164691"
"COL1A2"	"ENSG00000164692"
"CHMP4C"	"ENSG00000164695"
"SLC13A4"	"ENSG00000164707"
"BRI3"	"ENSG00000164713"
"LMTK2"	"ENSG00000164715"
"CTSB"	"ENSG00000164733"
"DLC1"	"ENSG00000164741"
"ADCY1"	"ENSG00000164742"
"SUN3"	"ENSG00000164744"
"HNF4G"	"ENSG00000164749"
"PEX2"	"ENSG00000164751"
"RAD21"	"ENSG00000164754"
"SLC30A8"	"ENSG00000164756"
"MED30"	"ENSG00000164758"
"TNFRSF11B"	"ENSG00000164761"
"SBSPON"	"ENSG00000164764"
"PHKG1"	"ENSG00000164776"
"KCNV1"	"ENSG00000164794"
"CSMD3"	"ENSG00000164796"
"SPIDR"	"ENSG00000164808"
"ORC5"	"ENSG00000164815"
"DNAAF5"	"ENSG00000164818"
"OSGIN2"	"ENSG00000164823"
"SUN1"	"ENSG00000164828"
"OXR1"	"ENSG00000164830"
"GPR146"	"ENSG00000164849"
"TMEM184A"	"ENSG00000164855"
"NOS3"	"ENSG00000164867"
"SPAG11B"	"ENSG00000164871"
"MICALL2"	"ENSG00000164877"
"INTS1"	"ENSG00000164880"
"CDK5"	"ENSG00000164885"
"SLC4A2"	"ENSG00000164889"
"SLC7A13"	"ENSG00000164893"
"FASTK"	"ENSG00000164896"
"TMUB1"	"ENSG00000164897"
"FMC1"	"ENSG00000164898"
"PHAX"	"ENSG00000164902"
"ALDH7A1"	"ENSG00000164904"
"FOXK1"	"ENSG00000164916"
"COX6C"	"ENSG00000164919"
"YWHAZ"	"ENSG00000164924"
"BAALC"	"ENSG00000164929"
"FZD6"	"ENSG00000164930"
"CTHRC1"	"ENSG00000164932"
"SLC25A32"	"ENSG00000164933"
"DCAF13"	"ENSG00000164934"
"TP53INP1"	"ENSG00000164938"
"INTS8"	"ENSG00000164941"
"VIRMA"	"ENSG00000164944"
"FREM1"	"ENSG00000164946"
"PDP1"	"ENSG00000164951"
"TMEM67"	"ENSG00000164953"
"WASHC5"	"ENSG00000164961"
"RPP25L"	"ENSG00000164967"
"FAM219A"	"ENSG00000164970"
"SNAPC3"	"ENSG00000164975"
"MYORG"	"ENSG00000164976"
"NUDT2"	"ENSG00000164978"
"TMEM65"	"ENSG00000164983"
"PSIP1"	"ENSG00000164985"
"CCDC171"	"ENSG00000164989"
"UBAP1"	"ENSG00000165006"
"DIRAS2"	"ENSG00000165023"
"SYK"	"ENSG00000165025"
"NIPSNAP3B"	"ENSG00000165028"
"ABCA1"	"ENSG00000165029"
"NFIL3"	"ENSG00000165030"
"LETM2"	"ENSG00000165046"
"METTL2B"	"ENSG00000165055"
"FXN"	"ENSG00000165060"
"ZMAT4"	"ENSG00000165061"
"TMEM71"	"ENSG00000165071"
"MAMDC2"	"ENSG00000165072"
"CPA6"	"ENSG00000165078"
"C8orf34"	"ENSG00000165084"
"TMC1"	"ENSG00000165091"
"ALDH1A1"	"ENSG00000165092"
"KDM1B"	"ENSG00000165097"
"HGSNAT"	"ENSG00000165102"
"RASEF"	"ENSG00000165105"
"GKAP1"	"ENSG00000165113"
"KIF27"	"ENSG00000165115"
"C9orf64"	"ENSG00000165118"
"HNRNPK"	"ENSG00000165119"
"SVEP1"	"ENSG00000165124"
"TRPV6"	"ENSG00000165125"
"ANKS6"	"ENSG00000165138"
"FBP1"	"ENSG00000165140"
"PGAP4"	"ENSG00000165152"
"ZHX1"	"ENSG00000165156"
"CYBB"	"ENSG00000165168"
"DYNLT3"	"ENSG00000165169"
"MID1IP1"	"ENSG00000165175"
"NCF1C"	"ENSG00000165178"
"KIAA1958"	"ENSG00000165185"
"PTCHD1"	"ENSG00000165186"
"ASB11"	"ENSG00000165192"
"PIGA"	"ENSG00000165195"
"STRBP"	"ENSG00000165209"
"GAPVD1"	"ENSG00000165219"
"CARD19"	"ENSG00000165233"
"WNK2"	"ENSG00000165238"
"ATP7A"	"ENSG00000165240"
"ZNF367"	"ENSG00000165244"
"NLGN4Y"	"ENSG00000165246"
"HDX"	"ENSG00000165259"
"NDUFB6"	"ENSG00000165264"
"AQP7"	"ENSG00000165269"
"NOL6"	"ENSG00000165271"
"AQP3"	"ENSG00000165272"
"TRMT10B"	"ENSG00000165275"
"VCP"	"ENSG00000165280"
"PIGO"	"ENSG00000165282"
"STOML2"	"ENSG00000165283"
"BRWD3"	"ENSG00000165288"
"SLITRK5"	"ENSG00000165300"
"MELK"	"ENSG00000165304"
"ARMC3"	"ENSG00000165309"
"OTUD1"	"ENSG00000165312"
"ARHGAP12"	"ENSG00000165322"
"FAT3"	"ENSG00000165323"
"HECTD2"	"ENSG00000165338"
"FBXO33"	"ENSG00000165355"
"INTS6L"	"ENSG00000165359"
"LRRC18"	"ENSG00000165383"
"SPTSSA"	"ENSG00000165389"
"WRN"	"ENSG00000165392"
"MARCHF8"	"ENSG00000165406"
"TSHR"	"ENSG00000165409"
"CFL2"	"ENSG00000165410"
"SUGT1"	"ENSG00000165416"
"GTF2A1"	"ENSG00000165417"
"ZCCHC24"	"ENSG00000165424"
"PGM2L1"	"ENSG00000165434"
"SLC16A9"	"ENSG00000165449"
"INPPL1"	"ENSG00000165458"
"CRYL1"	"ENSG00000165475"
"REEP3"	"ENSG00000165476"
"HEPACAM"	"ENSG00000165478"
"SKA3"	"ENSG00000165480"
"MICU2"	"ENSG00000165487"
"DDIAS"	"ENSG00000165490"
"PCF11"	"ENSG00000165494"
"PKNOX2"	"ENSG00000165495"
"LRR1"	"ENSG00000165501"
"RPL36AL"	"ENSG00000165502"
"DNAAF2"	"ENSG00000165506"
"DEPP1"	"ENSG00000165507"
"ZNF22"	"ENSG00000165512"
"KLHDC2"	"ENSG00000165516"
"EML5"	"ENSG00000165521"
"NEMF"	"ENSG00000165525"
"RPUSD4"	"ENSG00000165526"
"ARF6"	"ENSG00000165527"
"TTC8"	"ENSG00000165533"
"NOXRED1"	"ENSG00000165555"
"AMER2"	"ENSG00000165566"
"KBTBD6"	"ENSG00000165572"
"SSX5"	"ENSG00000165583"
"SSX3"	"ENSG00000165584"
"FAAH2"	"ENSG00000165591"
"NUDT5"	"ENSG00000165609"
"BEND7"	"ENSG00000165626"
"ATP5F1C"	"ENSG00000165629"
"PRPF18"	"ENSG00000165630"
"TAF3"	"ENSG00000165632"
"VSTM4"	"ENSG00000165633"
"VDAC2"	"ENSG00000165637"
"SLC18A2"	"ENSG00000165646"
"PDZD8"	"ENSG00000165650"
"ZNF503"	"ENSG00000165655"
"ABRAXAS2"	"ENSG00000165660"
"QSOX2"	"ENSG00000165661"
"FAM204A"	"ENSG00000165669"
"NSD1"	"ENSG00000165671"
"PRDX3"	"ENSG00000165672"
"ENOX2"	"ENSG00000165675"
"GHITM"	"ENSG00000165678"
"CLEC1B"	"ENSG00000165682"
"SNAPC4"	"ENSG00000165684"
"TMEM52B"	"ENSG00000165685"
"PMPCA"	"ENSG00000165688"
"ENTR1"	"ENSG00000165689"
"SPACA9"	"ENSG00000165698"
"TSC1"	"ENSG00000165699"
"GFI1B"	"ENSG00000165702"
"HPRT1"	"ENSG00000165704"
"BORCS5"	"ENSG00000165714"
"DIPK1B"	"ENSG00000165716"
"ZMYND19"	"ENSG00000165724"
"STOX1"	"ENSG00000165730"
"DDX21"	"ENSG00000165732"
"BMS1"	"ENSG00000165733"
"STK32C"	"ENSG00000165752"
"JCAD"	"ENSG00000165757"
"OR4K2"	"ENSG00000165762"
"FUNDC2"	"ENSG00000165775"
"PIP4P1"	"ENSG00000165782"
"METTL17"	"ENSG00000165792"
"NDRG2"	"ENSG00000165795"
"ARHGEF40"	"ENSG00000165801"
"NSMF"	"ENSG00000165802"
"ZNF219"	"ENSG00000165804"
"C12orf50"	"ENSG00000165805"
"CASP7"	"ENSG00000165806"
"PPP1R36"	"ENSG00000165807"
"BTNL9"	"ENSG00000165810"
"CCDC186"	"ENSG00000165813"
"VWA2"	"ENSG00000165816"
"METTL3"	"ENSG00000165819"
"SALL2"	"ENSG00000165821"
"PRAP1"	"ENSG00000165828"
"TRUB1"	"ENSG00000165832"
"CYP2C19"	"ENSG00000165841"
"ZFYVE1"	"ENSG00000165861"
"C10orf82"	"ENSG00000165863"
"HSPA12A"	"ENSG00000165868"
"SHLD2P1"	"ENSG00000165874"
"FRAT1"	"ENSG00000165879"
"E2F7"	"ENSG00000165891"
"ARHGAP42"	"ENSG00000165895"
"ISCA2"	"ENSG00000165898"
"OTOGL"	"ENSG00000165899"
"TTC7B"	"ENSG00000165914"
"SLC39A13"	"ENSG00000165915"
"PSMC3"	"ENSG00000165916"
"RAPSN"	"ENSG00000165917"
"AGBL2"	"ENSG00000165923"
"TC2N"	"ENSG00000165929"
"CPSF2"	"ENSG00000165934"
"MOAP1"	"ENSG00000165943"
"IFI27L1"	"ENSG00000165948"
"IFI27"	"ENSG00000165949"
"CLMN"	"ENSG00000165959"
"CCDC38"	"ENSG00000165972"
"NELL1"	"ENSG00000165973"
"PTER"	"ENSG00000165983"
"CACNB2"	"ENSG00000165995"
"HACD1"	"ENSG00000165996"
"ARL5B"	"ENSG00000165997"
"SMCO4"	"ENSG00000166002"
"CEP295"	"ENSG00000166004"
"KCNC2"	"ENSG00000166006"
"TAF1D"	"ENSG00000166012"
"ABTB2"	"ENSG00000166016"
"R3HCC1L"	"ENSG00000166024"
"AMOTL1"	"ENSG00000166025"
"LIPC"	"ENSG00000166035"
"CEP57"	"ENSG00000166037"
"TCP11L2"	"ENSG00000166046"
"SPRED1"	"ENSG00000166068"
"GPR176"	"ENSG00000166073"
"JAM3"	"ENSG00000166086"
"CMTM5"	"ENSG00000166091"
"GLB1L3"	"ENSG00000166105"
"SVOP"	"ENSG00000166111"
"GPT2"	"ENSG00000166123"
"RAB8B"	"ENSG00000166128"
"IKBIP"	"ENSG00000166130"
"RPUSD2"	"ENSG00000166133"
"HIF1AN"	"ENSG00000166135"
"NDUFB8"	"ENSG00000166136"
"ZFYVE19"	"ENSG00000166140"
"PPP1R14D"	"ENSG00000166143"
"SPINT1"	"ENSG00000166145"
"FBN1"	"ENSG00000166147"
"AVPR1A"	"ENSG00000166148"
"DEPDC4"	"ENSG00000166153"
"LRTM2"	"ENSG00000166159"
"BRD7"	"ENSG00000166164"
"CKB"	"ENSG00000166165"
"TRMT61A"	"ENSG00000166166"
"BTRC"	"ENSG00000166167"
"POLL"	"ENSG00000166169"
"BAG5"	"ENSG00000166170"
"DPCD"	"ENSG00000166171"
"LARP6"	"ENSG00000166173"
"API5"	"ENSG00000166181"
"ASPG"	"ENSG00000166183"
"ZNF319"	"ENSG00000166188"
"HPS6"	"ENSG00000166189"
"SENP8"	"ENSG00000166192"
"NOLC1"	"ENSG00000166197"
"ALKBH3"	"ENSG00000166199"
"COPS2"	"ENSG00000166200"
"GABRB3"	"ENSG00000166206"
"SGPL1"	"ENSG00000166224"
"FRS2"	"ENSG00000166225"
"CCT2"	"ENSG00000166226"
"PCBD1"	"ENSG00000166228"
"ARIH1"	"ENSG00000166233"
"CLMP"	"ENSG00000166250"
"SCN3B"	"ENSG00000166257"
"COX11"	"ENSG00000166260"
"ZNF202"	"ENSG00000166261"
"FAM227B"	"ENSG00000166262"
"STXBP4"	"ENSG00000166263"
"CYYR1"	"ENSG00000166265"
"CUL5"	"ENSG00000166266"
"WBP1L"	"ENSG00000166272"
"BORCS7"	"ENSG00000166275"
"C2"	"ENSG00000166278"
"ANAPC16"	"ENSG00000166295"
"SMPD1"	"ENSG00000166311"
"APBB1"	"ENSG00000166313"
"SYNPO2L"	"ENSG00000166317"
"NUDT13"	"ENSG00000166321"
"C11orf65"	"ENSG00000166323"
"TRIM44"	"ENSG00000166326"
"ILK"	"ENSG00000166333"
"TAF10"	"ENSG00000166337"
"TPP1"	"ENSG00000166340"
"DCHS1"	"ENSG00000166341"
"MSS51"	"ENSG00000166343"
"CYB5A"	"ENSG00000166347"
"USP54"	"ENSG00000166348"
"RAG1"	"ENSG00000166349"
"IFTAP"	"ENSG00000166352"
"ATP9B"	"ENSG00000166377"
"PPFIBP2"	"ENSG00000166387"
"CYB5R2"	"ENSG00000166394"
"GARRE1"	"ENSG00000166398"
"SERPINB8"	"ENSG00000166401"
"RIC3"	"ENSG00000166405"
"LMO1"	"ENSG00000166407"
"IDH3A"	"ENSG00000166411"
"WDR72"	"ENSG00000166415"
"CRABP1"	"ENSG00000166426"
"PLD4"	"ENSG00000166428"
"ZMAT1"	"ENSG00000166432"
"XRRA1"	"ENSG00000166435"
"TRIM66"	"ENSG00000166436"
"RNF169"	"ENSG00000166439"
"RPL27A"	"ENSG00000166441"
"DENND2B"	"ENSG00000166444"
"CDYL2"	"ENSG00000166446"
"TMEM130"	"ENSG00000166448"
"PRTG"	"ENSG00000166450"
"CENPN"	"ENSG00000166451"
"AKIP1"	"ENSG00000166452"
"ATMIN"	"ENSG00000166454"
"TMEM41B"	"ENSG00000166471"
"PKD1L2"	"ENSG00000166473"
"LEO1"	"ENSG00000166477"
"ZNF143"	"ENSG00000166478"
"TMX3"	"ENSG00000166479"
"MFAP4"	"ENSG00000166482"
"WEE1"	"ENSG00000166483"
"MAPK7"	"ENSG00000166484"
"PRKCB"	"ENSG00000166501"
"HDGFL3"	"ENSG00000166503"
"NDST2"	"ENSG00000166507"
"MCM7"	"ENSG00000166508"
"CLEC3A"	"ENSG00000166509"
"CCDC68"	"ENSG00000166510"
"CLEC4E"	"ENSG00000166523"
"ZNF3"	"ENSG00000166526"
"ZSCAN21"	"ENSG00000166529"
"RIMKLB"	"ENSG00000166532"
"A2ML1"	"ENSG00000166535"
"BEAN1"	"ENSG00000166546"
"TK2"	"ENSG00000166548"
"TMED3"	"ENSG00000166557"
"SEC11C"	"ENSG00000166562"
"CPLX4"	"ENSG00000166569"
"GALR1"	"ENSG00000166573"
"TMEM135"	"ENSG00000166575"
"NDEL1"	"ENSG00000166579"
"CENPV"	"ENSG00000166582"
"CIAO2B"	"ENSG00000166595"
"CFAP52"	"ENSG00000166596"
"HSP90B1"	"ENSG00000166598"
"BLCAP"	"ENSG00000166619"
"CHRFAM7A"	"ENSG00000166664"
"ATF7IP2"	"ENSG00000166669"
"TVP23A"	"ENSG00000166676"
"BEX3"	"ENSG00000166681"
"COG1"	"ENSG00000166685"
"PLEKHA7"	"ENSG00000166689"
"ZNF606"	"ENSG00000166704"
"B2M"	"ENSG00000166710"
"ZNF592"	"ENSG00000166716"
"GOLM2"	"ENSG00000166734"
"NNMT"	"ENSG00000166741"
"ACSM1"	"ENSG00000166743"
"AP1G1"	"ENSG00000166747"
"SLFN5"	"ENSG00000166750"
"CATSPER2"	"ENSG00000166762"
"BMERB1"	"ENSG00000166780"
"MARF1"	"ENSG00000166783"
"SAAL1"	"ENSG00000166788"
"PPIB"	"ENSG00000166794"
"LDHC"	"ENSG00000166796"
"CIAO2A"	"ENSG00000166797"
"LDHAL6A"	"ENSG00000166800"
"FAM111A"	"ENSG00000166801"
"PCLAF"	"ENSG00000166803"
"KIF7"	"ENSG00000166813"
"PLIN1"	"ENSG00000166819"
"PEX11A"	"ENSG00000166821"
"TMEM170A"	"ENSG00000166822"
"ANPEP"	"ENSG00000166825"
"SCNN1G"	"ENSG00000166828"
"RBPMS2"	"ENSG00000166831"
"NAV2"	"ENSG00000166833"
"ANKDD1A"	"ENSG00000166839"
"GLYATL1"	"ENSG00000166840"
"C18orf54"	"ENSG00000166845"
"DCTN5"	"ENSG00000166847"
"TERF2IP"	"ENSG00000166848"
"PLK1"	"ENSG00000166851"
"CLPX"	"ENSG00000166855"
"ZBTB39"	"ENSG00000166860"
"CACNG2"	"ENSG00000166862"
"CHP2"	"ENSG00000166869"
"NEMP1"	"ENSG00000166881"
"NAB2"	"ENSG00000166886"
"VPS39"	"ENSG00000166887"
"STAT6"	"ENSG00000166888"
"PATL1"	"ENSG00000166889"
"ATP23"	"ENSG00000166896"
"STX3"	"ENSG00000166900"
"MRPL16"	"ENSG00000166902"
"PIP4K2C"	"ENSG00000166908"
"MTMR10"	"ENSG00000166912"
"YWHAB"	"ENSG00000166913"
"GREM1"	"ENSG00000166923"
"TSC22D4"	"ENSG00000166925"
"MS4A7"	"ENSG00000166927"
"MS4A5"	"ENSG00000166930"
"DIS3L"	"ENSG00000166938"
"CCNDBP1"	"ENSG00000166946"
"EPB42"	"ENSG00000166947"
"SMAD3"	"ENSG00000166949"
"MAP1A"	"ENSG00000166963"
"RCCD1"	"ENSG00000166965"
"AKTIP"	"ENSG00000166971"
"MAPRE2"	"ENSG00000166974"
"EVA1C"	"ENSG00000166979"
"MARS1"	"ENSG00000166986"
"MBD6"	"ENSG00000166987"
"CNPY4"	"ENSG00000166997"
"PDIA3"	"ENSG00000167004"
"NUDT21"	"ENSG00000167005"
"NAT16"	"ENSG00000167011"
"TERB2"	"ENSG00000167014"
"NKX3-1"	"ENSG00000167034"
"SGSM1"	"ENSG00000167037"
"DUSP18"	"ENSG00000167065"
"MEI1"	"ENSG00000167077"
"B4GALNT2"	"ENSG00000167080"
"PBX3"	"ENSG00000167081"
"PHB"	"ENSG00000167085"
"SNRPD1"	"ENSG00000167088"
"TTC16"	"ENSG00000167094"
"SAMD14"	"ENSG00000167100"
"PIP5KL1"	"ENSG00000167103"
"TMEM92"	"ENSG00000167105"
"FAM102A"	"ENSG00000167106"
"ACSF2"	"ENSG00000167107"
"GOLGA2"	"ENSG00000167110"
"TRUB2"	"ENSG00000167112"
"COQ4"	"ENSG00000167113"
"SLC27A4"	"ENSG00000167114"
"ANKRD40CL"	"ENSG00000167117"
"URM1"	"ENSG00000167118"
"CERCAM"	"ENSG00000167123"
"DOLPP1"	"ENSG00000167130"
"C15orf39"	"ENSG00000167173"
"ISLR2"	"ENSG00000167178"
"SP2"	"ENSG00000167182"
"COQ7"	"ENSG00000167186"
"CRK"	"ENSG00000167193"
"FBXO22"	"ENSG00000167196"
